# Region          : all region0
# Cells           : 12680
# Volume          : 2.4200000000e-06
# Time            	volIntegrate(rho)
0.34              	2.8038668215e-06
0.345             	2.8038668214e-06
0.35              	2.8038668215e-06
0.355             	2.8038668214e-06
0.36              	2.8038668214e-06
0.365             	2.8038668214e-06
0.37              	2.8038668215e-06
0.375             	2.8038668215e-06
0.38              	2.8038668215e-06
0.385             	2.8038668216e-06
0.39              	2.8038668216e-06
0.395             	2.8038668216e-06
0.4               	2.8038668216e-06
0.405             	2.8038668215e-06
0.41              	2.8038668216e-06
0.415             	2.8038668216e-06
0.42              	2.8038668216e-06
0.425             	2.8038668216e-06
0.43              	2.8038668215e-06
0.435             	2.8038668215e-06
0.44              	2.8038668216e-06
0.445             	2.8038668215e-06
0.45              	2.8038668214e-06
0.455             	2.8038668214e-06
0.46              	2.8038668214e-06
0.465             	2.8038668215e-06
0.47              	2.8038668215e-06
0.475             	2.8038668216e-06
0.48              	2.8038668217e-06
0.485             	2.8038668216e-06
0.49              	2.8038668216e-06
0.495             	2.8038668217e-06
0.5               	2.8038668217e-06
0.505             	2.8038668217e-06
0.51              	2.8038668216e-06
0.515             	2.8038668216e-06
0.52              	2.8038668216e-06
0.525             	2.8038668216e-06
0.53              	2.8038668216e-06
0.535             	2.8038668215e-06
0.54              	2.8038668216e-06
0.545             	2.8038668216e-06
0.55              	2.8038668215e-06
0.555             	2.8038668216e-06
0.56              	2.8038668216e-06
0.565             	2.8038668216e-06
0.57              	2.8038668216e-06
0.575             	2.8038668216e-06
0.58              	2.8038668216e-06
0.585             	2.8038668215e-06
0.59              	2.8038668215e-06
0.595             	2.8038668215e-06
0.6               	2.8038668215e-06
0.605             	2.8038668214e-06
0.61              	2.8038668213e-06
0.615             	2.8038668213e-06
0.62              	2.8038668214e-06
0.625             	2.8038668214e-06
0.63              	2.8038668214e-06
0.635             	2.8038668214e-06
0.64              	2.8038668215e-06
0.645             	2.8038668216e-06
0.65              	2.8038668215e-06
0.655             	2.8038668215e-06
0.66              	2.8038668216e-06
0.665             	2.8038668216e-06
0.67              	2.8038668216e-06
0.675             	2.8038668215e-06
0.68              	2.8038668216e-06
0.685             	2.8038668215e-06
0.69              	2.8038668216e-06
0.695             	2.8038668215e-06
0.7               	2.8038668215e-06
0.705             	2.8038668215e-06
0.71              	2.8038668216e-06
0.715             	2.8038668216e-06
0.72              	2.8038668217e-06
0.725             	2.8038668217e-06
0.73              	2.8038668216e-06
0.735             	2.8038668216e-06
0.74              	2.8038668216e-06
0.745             	2.8038668216e-06
0.75              	2.8038668216e-06
0.755             	2.8038668215e-06
0.76              	2.8038668216e-06
0.765             	2.8038668216e-06
0.77              	2.8038668216e-06
0.775             	2.8038668217e-06
0.78              	2.8038668217e-06
0.785             	2.8038668217e-06
0.79              	2.8038668217e-06
0.795             	2.8038668217e-06
0.8               	2.8038668216e-06
0.805             	2.8038668215e-06
0.81              	2.8038668215e-06
0.815             	2.8038668216e-06
0.82              	2.8038668216e-06
0.825             	2.8038668216e-06
0.83              	2.8038668216e-06
0.835             	2.8038668216e-06
0.84              	2.8038668216e-06
0.845             	2.8038668216e-06
0.85              	2.8038668217e-06
0.855             	2.8038668217e-06
0.86              	2.8038668216e-06
0.865             	2.8038668215e-06
0.87              	2.8038668215e-06
0.875             	2.8038668214e-06
0.88              	2.8038668215e-06
0.885             	2.8038668214e-06
0.89              	2.8038668215e-06
0.895             	2.8038668215e-06
0.9               	2.8038668214e-06
0.905             	2.8038668214e-06
0.91              	2.8038668215e-06
0.915             	2.8038668215e-06
0.92              	2.8038668216e-06
0.925             	2.8038668215e-06
0.93              	2.8038668215e-06
0.935             	2.8038668215e-06
0.94              	2.8038668215e-06
0.945             	2.8038668216e-06
0.95              	2.8038668215e-06
0.955             	2.8038668216e-06
0.96              	2.8038668216e-06
0.965             	2.8038668217e-06
0.97              	2.8038668216e-06
0.975             	2.8038668214e-06
0.98              	2.8038668214e-06
0.985             	2.8038668214e-06
0.99              	2.8038668215e-06
0.995             	2.8038668215e-06
1                 	2.8038668216e-06
1.005             	2.8038668216e-06
1.01              	2.8038668216e-06
1.015             	2.8038668216e-06
1.02              	2.8038668216e-06
1.025             	2.8038668215e-06
1.03              	2.8038668217e-06
1.035             	2.8038668216e-06
1.04              	2.8038668217e-06
1.045             	2.8038668217e-06
1.05              	2.8038668216e-06
1.055             	2.8038668215e-06
1.06              	2.8038668215e-06
1.065             	2.8038668216e-06
1.07              	2.8038668217e-06
1.075             	2.8038668217e-06
1.08              	2.8038668216e-06
1.085             	2.8038668216e-06
1.09              	2.8038668216e-06
1.095             	2.8038668216e-06
1.1               	2.8038668216e-06
1.105             	2.8038668215e-06
1.11              	2.8038668216e-06
1.115             	2.8038668216e-06
1.12              	2.8038668217e-06
1.125             	2.8038668216e-06
1.13              	2.8038668217e-06
1.135             	2.8038668217e-06
1.14              	2.8038668216e-06
1.145             	2.8038668217e-06
1.15              	2.8038668216e-06
1.155             	2.8038668215e-06
1.16              	2.8038668216e-06
1.165             	2.8038668216e-06
1.17              	2.8038668216e-06
1.175             	2.8038668217e-06
1.18              	2.8038668216e-06
1.185             	2.8038668215e-06
1.19              	2.8038668216e-06
1.195             	2.8038668215e-06
1.2               	2.8038668216e-06
1.205             	2.8038668216e-06
1.21              	2.8038668216e-06
1.215             	2.8038668216e-06
1.22              	2.8038668215e-06
1.225             	2.8038668215e-06
1.23              	2.8038668215e-06
1.235             	2.8038668216e-06
1.24              	2.8038668216e-06
1.245             	2.8038668216e-06
1.25              	2.8038668216e-06
1.255             	2.8038668216e-06
1.26              	2.8038668216e-06
1.265             	2.8038668216e-06
1.27              	2.8038668216e-06
1.275             	2.8038668216e-06
1.28              	2.8038668216e-06
1.285             	2.8038668216e-06
1.29              	2.8038668215e-06
1.295             	2.8038668215e-06
1.3               	2.8038668215e-06
1.305             	2.8038668215e-06
1.31              	2.8038668214e-06
1.315             	2.8038668215e-06
1.32              	2.8038668216e-06
1.325             	2.8038668215e-06
1.33              	2.8038668216e-06
1.335             	2.8038668217e-06
1.34              	2.8038668217e-06
1.345             	2.8038668217e-06
1.35              	2.8038668216e-06
1.355             	2.8038668216e-06
1.36              	2.8038668216e-06
1.365             	2.8038668216e-06
1.37              	2.8038668216e-06
1.375             	2.8038668216e-06
1.38              	2.8038668216e-06
1.385             	2.8038668215e-06
1.39              	2.8038668216e-06
1.395             	2.8038668217e-06
1.4               	2.8038668216e-06
1.405             	2.8038668217e-06
1.41              	2.8038668217e-06
1.415             	2.8038668216e-06
1.42              	2.8038668215e-06
1.425             	2.8038668215e-06
1.43              	2.8038668216e-06
1.435             	2.8038668216e-06
1.44              	2.8038668216e-06
1.445             	2.8038668217e-06
1.45              	2.8038668217e-06
1.455             	2.8038668217e-06
1.46              	2.8038668218e-06
1.465             	2.8038668217e-06
1.47              	2.8038668216e-06
1.475             	2.8038668215e-06
1.48              	2.8038668216e-06
1.485             	2.8038668215e-06
1.49              	2.8038668216e-06
1.495             	2.8038668216e-06
1.5               	2.8038668216e-06
1.505             	2.8038668217e-06
1.51              	2.8038668216e-06
1.515             	2.8038668216e-06
1.52              	2.8038668216e-06
1.525             	2.8038668217e-06
1.53              	2.8038668216e-06
1.535             	2.8038668216e-06
1.54              	2.8038668217e-06
1.545             	2.8038668216e-06
1.55              	2.8038668217e-06
1.555             	2.8038668216e-06
1.56              	2.8038668216e-06
1.565             	2.8038668215e-06
1.57              	2.8038668216e-06
1.575             	2.8038668216e-06
1.58              	2.8038668216e-06
1.585             	2.8038668216e-06
1.59              	2.8038668215e-06
1.595             	2.8038668215e-06
1.6               	2.8038668215e-06
1.605             	2.8038668214e-06
1.61              	2.8038668215e-06
1.615             	2.8038668215e-06
1.62              	2.8038668216e-06
1.625             	2.8038668216e-06
1.63              	2.8038668216e-06
1.635             	2.8038668215e-06
1.64              	2.8038668215e-06
1.645             	2.8038668215e-06
1.65              	2.8038668216e-06
1.655             	2.8038668216e-06
1.66              	2.8038668216e-06
1.665             	2.8038668216e-06
1.67              	2.8038668215e-06
1.675             	2.8038668216e-06
1.68              	2.8038668216e-06
1.685             	2.8038668216e-06
1.69              	2.8038668217e-06
1.695             	2.8038668217e-06
1.7               	2.8038668215e-06
1.705             	2.8038668215e-06
1.71              	2.8038668215e-06
1.715             	2.8038668215e-06
1.72              	2.8038668216e-06
1.725             	2.8038668214e-06
1.73              	2.8038668214e-06
1.735             	2.8038668215e-06
1.74              	2.8038668215e-06
1.745             	2.8038668215e-06
1.75              	2.8038668215e-06
1.755             	2.8038668215e-06
1.76              	2.8038668215e-06
1.765             	2.8038668215e-06
1.77              	2.8038668213e-06
1.775             	2.8038668213e-06
1.78              	2.8038668214e-06
1.785             	2.8038668214e-06
1.79              	2.8038668215e-06
1.795             	2.8038668215e-06
1.8               	2.8038668216e-06
1.805             	2.8038668217e-06
1.81              	2.8038668217e-06
1.815             	2.8038668216e-06
1.82              	2.8038668216e-06
1.825             	2.8038668216e-06
1.83              	2.8038668216e-06
1.835             	2.8038668215e-06
1.84              	2.8038668215e-06
1.845             	2.8038668215e-06
1.85              	2.8038668216e-06
1.855             	2.8038668215e-06
1.86              	2.8038668216e-06
1.865             	2.8038668215e-06
1.87              	2.8038668216e-06
1.875             	2.8038668216e-06
1.88              	2.8038668216e-06
1.885             	2.8038668216e-06
1.89              	2.8038668216e-06
1.895             	2.8038668216e-06
1.9               	2.8038668215e-06
1.905             	2.8038668216e-06
1.91              	2.8038668216e-06
1.915             	2.8038668215e-06
1.92              	2.8038668216e-06
1.925             	2.8038668216e-06
1.93              	2.8038668215e-06
1.935             	2.8038668215e-06
1.94              	2.8038668216e-06
1.945             	2.8038668216e-06
1.95              	2.8038668216e-06
1.955             	2.8038668216e-06
1.96              	2.8038668215e-06
1.965             	2.8038668217e-06
1.97              	2.8038668216e-06
1.975             	2.8038668216e-06
1.98              	2.8038668216e-06
1.985             	2.8038668217e-06
1.99              	2.8038668218e-06
1.995             	2.8038668217e-06
2                 	2.8038668216e-06
2.005             	2.8038668215e-06
2.01              	2.8038668216e-06
2.015             	2.8038668215e-06
2.02              	2.8038668215e-06
2.025             	2.8038668215e-06
2.03              	2.8038668215e-06
2.035             	2.8038668215e-06
2.04              	2.8038668215e-06
2.045             	2.8038668215e-06
2.05              	2.8038668216e-06
2.055             	2.8038668216e-06
2.06              	2.8038668216e-06
2.065             	2.8038668216e-06
2.07              	2.8038668215e-06
2.075             	2.8038668215e-06
2.08              	2.8038668216e-06
2.085             	2.8038668216e-06
2.09              	2.8038668216e-06
2.095             	2.8038668215e-06
2.1               	2.8038668216e-06
2.105             	2.8038668216e-06
2.11              	2.8038668216e-06
2.115             	2.8038668215e-06
2.12              	2.8038668215e-06
2.125             	2.8038668215e-06
2.13              	2.8038668215e-06
2.135             	2.8038668216e-06
2.14              	2.8038668217e-06
2.145             	2.8038668217e-06
2.15              	2.8038668216e-06
2.155             	2.8038668216e-06
2.16              	2.8038668215e-06
2.165             	2.8038668216e-06
2.17              	2.8038668216e-06
2.175             	2.8038668216e-06
2.18              	2.8038668217e-06
2.185             	2.8038668217e-06
2.19              	2.8038668216e-06
2.195             	2.8038668216e-06
2.2               	2.8038668216e-06
2.205             	2.8038668217e-06
2.21              	2.8038668218e-06
2.215             	2.8038668217e-06
2.22              	2.8038668216e-06
2.225             	2.8038668216e-06
2.23              	2.8038668216e-06
2.235             	2.8038668215e-06
2.24              	2.8038668216e-06
2.245             	2.8038668216e-06
2.25              	2.8038668215e-06
2.255             	2.8038668215e-06
2.26              	2.8038668215e-06
2.265             	2.8038668215e-06
2.27              	2.8038668217e-06
2.275             	2.8038668216e-06
2.28              	2.8038668216e-06
2.285             	2.8038668216e-06
2.29              	2.8038668216e-06
2.295             	2.8038668216e-06
2.3               	2.8038668217e-06
2.305             	2.8038668217e-06
2.31              	2.8038668216e-06
2.315             	2.8038668216e-06
2.32              	2.8038668215e-06
2.325             	2.8038668215e-06
2.33              	2.8038668215e-06
2.335             	2.8038668215e-06
2.34              	2.8038668215e-06
2.345             	2.8038668215e-06
2.35              	2.8038668215e-06
2.355             	2.8038668215e-06
2.36              	2.8038668216e-06
2.365             	2.8038668215e-06
2.37              	2.8038668215e-06
2.375             	2.8038668215e-06
2.38              	2.8038668215e-06
2.385             	2.8038668215e-06
2.39              	2.8038668216e-06
2.395             	2.8038668216e-06
2.4               	2.8038668216e-06
2.405             	2.8038668216e-06
2.41              	2.8038668215e-06
2.415             	2.8038668215e-06
2.42              	2.8038668216e-06
2.425             	2.8038668216e-06
2.43              	2.8038668215e-06
2.435             	2.8038668215e-06
2.44              	2.8038668215e-06
2.445             	2.8038668215e-06
2.45              	2.8038668215e-06
2.455             	2.8038668214e-06
2.46              	2.8038668214e-06
2.465             	2.8038668214e-06
2.47              	2.8038668214e-06
2.475             	2.8038668214e-06
2.48              	2.8038668214e-06
2.485             	2.8038668214e-06
2.49              	2.8038668215e-06
2.495             	2.8038668215e-06
2.5               	2.8038668215e-06
2.505             	2.8038668215e-06
2.51              	2.8038668214e-06
2.515             	2.8038668215e-06
2.52              	2.8038668215e-06
2.525             	2.8038668215e-06
2.53              	2.8038668214e-06
2.535             	2.8038668215e-06
2.54              	2.8038668216e-06
2.545             	2.8038668215e-06
2.55              	2.8038668215e-06
2.555             	2.8038668215e-06
2.56              	2.8038668215e-06
2.565             	2.8038668216e-06
2.57              	2.8038668216e-06
2.575             	2.8038668216e-06
2.58              	2.8038668216e-06
2.585             	2.8038668216e-06
2.59              	2.8038668215e-06
2.595             	2.8038668215e-06
2.6               	2.8038668216e-06
2.605             	2.8038668215e-06
2.61              	2.8038668215e-06
2.615             	2.8038668214e-06
2.62              	2.8038668215e-06
2.625             	2.8038668214e-06
2.63              	2.8038668214e-06
2.635             	2.8038668215e-06
2.64              	2.8038668214e-06
2.645             	2.8038668213e-06
2.65              	2.8038668213e-06
2.655             	2.8038668214e-06
2.66              	2.8038668214e-06
2.665             	2.8038668214e-06
2.67              	2.8038668213e-06
2.675             	2.8038668214e-06
2.68              	2.8038668214e-06
2.685             	2.8038668214e-06
2.69              	2.8038668214e-06
2.695             	2.8038668215e-06
2.7               	2.8038668214e-06
2.705             	2.8038668213e-06
2.71              	2.8038668214e-06
2.715             	2.8038668214e-06
2.72              	2.8038668215e-06
2.725             	2.8038668216e-06
2.73              	2.8038668217e-06
2.735             	2.8038668217e-06
2.74              	2.8038668216e-06
2.745             	2.8038668217e-06
2.75              	2.8038668216e-06
2.755             	2.8038668215e-06
2.76              	2.8038668216e-06
2.765             	2.8038668216e-06
2.77              	2.8038668217e-06
2.775             	2.8038668216e-06
2.78              	2.8038668215e-06
2.785             	2.8038668215e-06
2.79              	2.8038668215e-06
2.795             	2.8038668214e-06
2.8               	2.8038668214e-06
2.805             	2.8038668214e-06
2.81              	2.8038668215e-06
2.815             	2.8038668215e-06
2.82              	2.8038668215e-06
2.825             	2.8038668216e-06
2.83              	2.8038668215e-06
2.835             	2.8038668215e-06
2.84              	2.8038668216e-06
2.845             	2.8038668215e-06
2.85              	2.8038668216e-06
2.855             	2.8038668217e-06
2.86              	2.8038668216e-06
2.865             	2.8038668216e-06
2.87              	2.8038668217e-06
2.875             	2.8038668217e-06
2.88              	2.8038668216e-06
2.885             	2.8038668216e-06
2.89              	2.8038668216e-06
2.895             	2.8038668216e-06
2.9               	2.8038668216e-06
2.905             	2.8038668215e-06
2.91              	2.8038668216e-06
2.915             	2.8038668216e-06
2.92              	2.8038668216e-06
2.925             	2.8038668216e-06
2.93              	2.8038668216e-06
2.935             	2.8038668216e-06
2.94              	2.8038668216e-06
2.945             	2.8038668216e-06
2.95              	2.8038668216e-06
2.955             	2.8038668215e-06
2.96              	2.8038668215e-06
2.965             	2.8038668216e-06
2.97              	2.8038668216e-06
2.975             	2.8038668216e-06
2.98              	2.8038668217e-06
2.985             	2.8038668217e-06
2.99              	2.8038668217e-06
2.995             	2.8038668215e-06
3                 	2.8038668216e-06
3.005             	2.8038668216e-06
3.01              	2.8038668216e-06
3.015             	2.8038668216e-06
3.02              	2.8038668217e-06
3.025             	2.8038668218e-06
3.03              	2.8038668216e-06
3.035             	2.8038668216e-06
3.04              	2.8038668216e-06
3.045             	2.8038668215e-06
3.05              	2.8038668216e-06
3.055             	2.8038668216e-06
3.06              	2.8038668216e-06
3.065             	2.8038668215e-06
3.07              	2.8038668215e-06
3.075             	2.8038668216e-06
3.08              	2.8038668216e-06
3.085             	2.8038668216e-06
3.09              	2.8038668217e-06
3.095             	2.8038668216e-06
3.1               	2.8038668216e-06
3.105             	2.8038668216e-06
3.11              	2.8038668216e-06
3.115             	2.8038668217e-06
3.12              	2.8038668216e-06
3.125             	2.8038668215e-06
3.13              	2.8038668215e-06
3.135             	2.8038668215e-06
3.14              	2.8038668215e-06
3.145             	2.8038668215e-06
3.15              	2.8038668215e-06
3.155             	2.8038668215e-06
3.16              	2.8038668216e-06
3.165             	2.8038668215e-06
3.17              	2.8038668217e-06
3.175             	2.8038668216e-06
3.18              	2.8038668216e-06
3.185             	2.8038668216e-06
3.19              	2.8038668217e-06
3.195             	2.8038668216e-06
3.2               	2.8038668216e-06
3.205             	2.8038668216e-06
3.21              	2.8038668216e-06
3.215             	2.8038668216e-06
3.22              	2.8038668216e-06
3.225             	2.8038668216e-06
3.23              	2.8038668216e-06
3.235             	2.8038668216e-06
3.24              	2.8038668217e-06
3.245             	2.8038668217e-06
3.25              	2.8038668217e-06
3.255             	2.8038668216e-06
3.26              	2.8038668215e-06
3.265             	2.8038668216e-06
3.27              	2.8038668215e-06
3.275             	2.8038668215e-06
3.28              	2.8038668216e-06
3.285             	2.8038668215e-06
3.29              	2.8038668215e-06
3.295             	2.8038668215e-06
3.3               	2.8038668215e-06
3.305             	2.8038668215e-06
3.31              	2.8038668217e-06
3.315             	2.8038668216e-06
3.32              	2.8038668215e-06
3.325             	2.8038668216e-06
3.33              	2.8038668216e-06
3.335             	2.8038668216e-06
3.34              	2.8038668216e-06
3.345             	2.8038668216e-06
3.35              	2.8038668215e-06
3.355             	2.8038668216e-06
3.36              	2.8038668216e-06
3.365             	2.8038668215e-06
3.37              	2.8038668216e-06
3.375             	2.8038668216e-06
3.38              	2.8038668217e-06
3.385             	2.8038668217e-06
3.39              	2.8038668216e-06
3.395             	2.8038668216e-06
3.4               	2.8038668216e-06
3.405             	2.8038668216e-06
3.41              	2.8038668216e-06
3.415             	2.8038668216e-06
3.42              	2.8038668216e-06
3.425             	2.8038668217e-06
3.43              	2.8038668217e-06
3.435             	2.8038668218e-06
3.44              	2.8038668218e-06
3.445             	2.8038668217e-06
3.45              	2.8038668217e-06
3.455             	2.8038668217e-06
3.46              	2.8038668216e-06
3.465             	2.8038668216e-06
3.47              	2.8038668217e-06
3.475             	2.8038668216e-06
3.48              	2.8038668215e-06
3.485             	2.8038668216e-06
3.49              	2.8038668216e-06
3.495             	2.8038668216e-06
3.5               	2.8038668216e-06
3.505             	2.8038668216e-06
3.51              	2.8038668216e-06
3.515             	2.8038668216e-06
3.52              	2.8038668216e-06
3.525             	2.8038668217e-06
3.53              	2.8038668216e-06
3.535             	2.8038668216e-06
3.54              	2.8038668216e-06
3.545             	2.8038668216e-06
3.55              	2.8038668217e-06
3.555             	2.8038668217e-06
3.56              	2.8038668216e-06
3.565             	2.8038668215e-06
3.57              	2.8038668216e-06
3.575             	2.8038668216e-06
3.58              	2.8038668216e-06
3.585             	2.8038668215e-06
3.59              	2.8038668216e-06
3.595             	2.8038668215e-06
3.6               	2.8038668216e-06
3.605             	2.8038668216e-06
3.61              	2.8038668216e-06
3.615             	2.8038668216e-06
3.62              	2.8038668216e-06
3.625             	2.8038668216e-06
3.63              	2.8038668216e-06
3.635             	2.8038668217e-06
3.64              	2.8038668217e-06
3.645             	2.8038668216e-06
3.65              	2.8038668216e-06
3.655             	2.8038668215e-06
3.66              	2.8038668217e-06
3.665             	2.8038668216e-06
3.67              	2.8038668215e-06
3.675             	2.8038668216e-06
3.68              	2.8038668216e-06
3.685             	2.8038668217e-06
3.69              	2.8038668216e-06
3.695             	2.8038668215e-06
3.7               	2.8038668215e-06
3.705             	2.8038668215e-06
3.71              	2.8038668216e-06
3.715             	2.8038668216e-06
3.72              	2.8038668216e-06
3.725             	2.8038668216e-06
3.73              	2.8038668217e-06
3.735             	2.8038668216e-06
3.74              	2.8038668215e-06
3.745             	2.8038668216e-06
3.75              	2.8038668216e-06
3.755             	2.8038668216e-06
3.76              	2.8038668215e-06
3.765             	2.8038668216e-06
3.77              	2.8038668215e-06
3.775             	2.8038668215e-06
3.78              	2.8038668215e-06
3.785             	2.8038668215e-06
3.79              	2.8038668215e-06
3.795             	2.8038668215e-06
3.8               	2.8038668215e-06
3.805             	2.8038668216e-06
3.81              	2.8038668216e-06
3.815             	2.8038668216e-06
3.82              	2.8038668216e-06
3.825             	2.8038668215e-06
3.83              	2.8038668215e-06
3.835             	2.8038668216e-06
3.84              	2.8038668216e-06
3.845             	2.8038668215e-06
3.85              	2.8038668215e-06
3.855             	2.8038668216e-06
3.86              	2.8038668215e-06
3.865             	2.8038668215e-06
3.87              	2.8038668215e-06
3.875             	2.8038668215e-06
3.88              	2.8038668216e-06
3.885             	2.8038668217e-06
3.89              	2.8038668217e-06
3.895             	2.8038668216e-06
3.9               	2.8038668216e-06
3.905             	2.8038668216e-06
3.91              	2.8038668216e-06
3.915             	2.8038668216e-06
3.92              	2.8038668215e-06
3.925             	2.8038668215e-06
3.93              	2.8038668216e-06
3.935             	2.8038668216e-06
3.94              	2.8038668217e-06
3.945             	2.8038668216e-06
3.95              	2.8038668216e-06
3.955             	2.8038668216e-06
3.96              	2.8038668216e-06
3.965             	2.8038668216e-06
3.97              	2.8038668216e-06
3.975             	2.8038668217e-06
3.98              	2.8038668217e-06
3.985             	2.8038668217e-06
3.99              	2.8038668217e-06
3.995             	2.8038668216e-06
4                 	2.8038668216e-06
